County Name	Estimated hesitant	Estimated strongly hesitant	Social Vulnerability Index (SVI)	SVI Category	CVAC level of concern for vaccination rollout	CVAC Level Of Concern	Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
"Riverside County, California"	0.069	0.0335	0.79	High Vulnerability	0.65	High Concern	0.459
"Tehama County, California"	0.0821	0.041	0.96	Very High Vulnerability	0.83	Very High Concern	0.323
"Madera County, California"	0.082	0.041	0.95	Very High Vulnerability	0.73	High Concern	0.44
"Colusa County, California"	0.0821	0.041	0.74	High Vulnerability	0.84	Very High Concern	0.474
"Alameda County, California"	0.0479	0.0237	0.47	Moderate Vulnerability	0.53	Moderate Concern	0.684
"Kings County, California"	0.0892	0.044	0.97	Very High Vulnerability	0.75	High Concern	0.311
"Fresno County, California"	0.0706	0.0345	0.96	Very High Vulnerability	0.77	High Concern	0.494
"Yolo County, California"	0.0606	0.0299	0.68	High Vulnerability	0.57	Moderate Concern	0.555
"Marin County, California"	0.0496	0.025	0.27	Low Vulnerability	0.31	Low Concern	0.789
"Santa Barbara County, California"	0.0691	0.0343	0.71	High Vulnerability	0.54	Moderate Concern	0.589
"Solano County, California"	0.0628	0.0312	0.59	Moderate Vulnerability	0.53	Moderate Concern	0.516
"San Francisco County, California"	0.0388	0.0192	0.39	Low Vulnerability	0.52	Moderate Concern	0.696
"Merced County, California"	0.0796	0.039	0.97	Very High Vulnerability	0.81	Very High Concern	0.35
"Sonoma County, California"	0.0611	0.0301	0.4	Moderate Vulnerability	0.44	Moderate Concern	0.654
"Sacramento County, California"	0.0687	0.0337	0.73	High Vulnerability	0.58	Moderate Concern	0.525
"Ventura County, California"	0.0612	0.0298	0.48	Moderate Vulnerability	0.46	Moderate Concern	0.6
"Nevada County, California"	0.0726	0.0363	0.2	Low Vulnerability	0.47	Moderate Concern	0.504
"Lake County, California"	0.0859	0.0422	0.92	Very High Vulnerability	0.82	Very High Concern	0.483
"San Mateo County, California"	0.0428	0.0215	0.26	Low Vulnerability	0.4	Moderate Concern	0.712
"Calaveras County, California"	0.0779	0.0387	0.23	Low Vulnerability	0.62	High Concern	0.415
"San Diego County, California"	0.0617	0.0301	0.56	Moderate Vulnerability	0.55	Moderate Concern	0.445
"El Dorado County, California"	0.0629	0.0312	0.18	Very Low Vulnerability	0.43	Moderate Concern	0.516
"Napa County, California"	0.0565	0.028	0.51	Moderate Vulnerability	0.47	Moderate Concern	0.663
"Del Norte County, California"	0.0923	0.0465	0.97	Very High Vulnerability	0.78	High Concern	0.323
"Mendocino County, California"	0.0859	0.0422	0.88	Very High Vulnerability	0.69	High Concern	0.563
"San Benito County, California"	0.0772	0.0381	0.52	Moderate Vulnerability	0.64	High Concern	0.507
"Lassen County, California"	0.0923	0.0465	0.6	Moderate Vulnerability	0.7	High Concern	0.296
"Imperial County, California"	0.0748	0.036	1	Very High Vulnerability	0.9	Very High Concern	0.573
"Stanislaus County, California"	0.078	0.038	0.87	Very High Vulnerability	0.65	High Concern	0.405
"Shasta County, California"	0.0805	0.0396	0.7	High Vulnerability	0.57	Moderate Concern	0.386
"San Luis Obispo County, California"	0.0674	0.0336	0.37	Low Vulnerability	0.39	Low Concern	0.489
"Amador County, California"	0.0779	0.0387	0.53	Moderate Vulnerability	0.58	Moderate Concern	0.404
"Tuolumne County, California"	0.0779	0.0387	0.47	Moderate Vulnerability	0.56	Moderate Concern	0.473
"Orange County, California"	0.0537	0.0264	0.42	Moderate Vulnerability	0.43	Moderate Concern	0.588
"Santa Cruz County, California"	0.0602	0.0299	0.54	Moderate Vulnerability	0.48	Moderate Concern	0.635
"Humboldt County, California"	0.0821	0.0402	0.76	High Vulnerability	0.66	High Concern	0.525
"Monterey County, California"	0.0677	0.0333	0.8	High Vulnerability	0.62	High Concern	0.576
"Placer County, California"	0.0581	0.0289	0.15	Very Low Vulnerability	0.35	Low Concern	0.56
"San Bernardino County, California"	0.074	0.0361	0.9	Very High Vulnerability	0.69	High Concern	0.439
"Contra Costa County, California"	0.0543	0.027	0.41	Moderate Vulnerability	0.47	Moderate Concern	0.7
"Sutter County, California"	0.0821	0.041	0.88	Very High Vulnerability	0.62	High Concern	0.46
"Butte County, California"	0.079	0.0392	0.81	Very High Vulnerability	0.66	High Concern	0.436
"Los Angeles County, California"	0.0602	0.0291	0.77	High Vulnerability	0.71	High Concern	0.562
"San Joaquin County, California"	0.0712	0.0354	0.89	Very High Vulnerability	0.7	High Concern	0.433
"Kern County, California"	0.0821	0.0404	0.97	Very High Vulnerability	0.82	Very High Concern	0.408
"Santa Clara County, California"	0.0413	0.0206	0.36	Low Vulnerability	0.42	Moderate Concern	0.734
"Yuba County, California"	0.0821	0.041	0.94	Very High Vulnerability	0.79	High Concern	0.366
"Glenn County, California"	0.0821	0.041	0.89	Very High Vulnerability	0.87	Very High Concern	0.441
"Tulare County, California"	0.0796	0.0389	0.94	Very High Vulnerability	0.74	High Concern	0.429
"Siskiyou County, California"	0.0923	0.0465	0.72	High Vulnerability	0.68	High Concern	0.433
